tissue,type,precision,recall
Breast,all,0.0008844151462932064,0.0022563386834147476
Breast,signif,0.0010828370330265296,0.0005117469178878809
Breast,all,0.0008510712207661378,0.002279599906955106
Breast,signif,0.0013698630136986301,0.0006745754826703884
Breast,all,0.0006382551926618888,0.0016282856478250756
Breast,signif,0.0010799666192135879,0.0005117469178878809
Breast,all,0.0006747820453993361,0.0017445917655268667
Breast,signif,0.0010137092102722534,0.0004884856943475227
Breast,all,0.0008327994875080077,0.0021167713421725983
Breast,signif,0.0010342789598108747,0.0004884856943475227
Breast,all,0.0007086077674312969,0.0018143754361479413
Breast,signif,0.0009356840342755836,0.00044196324726680623
Breast,all,0.0007716049382716049,0.0020237264480111655
Breast,signif,0.0010038720780152016,0.0004884856943475227
Breast,all,0.0006890033301827625,0.0018143754361479413
Breast,signif,0.001029673312739867,0.0005117469178878809
Breast,all,0.000846262341325811,0.00209351011863224
Breast,signif,0.0014186553174241274,0.0006513142591300302
Breast,all,0.0007619991920972422,0.0019306815538497324
Breast,signif,0.0011517275913870805,0.0005350081414282391
Kidney,all,0.0008818541548897683,0.002721563154221912
Kidney,signif,0.0007999600019999,0.0003721795766457316
Kidney,all,0.000705365818548242,0.002279599906955106
Kidney,signif,0.0008963786303334528,0.00046522447080716444
Kidney,all,0.0008167772088907712,0.002512212142358688
Kidney,signif,0.0011914217633042098,0.0005582693649685974
Kidney,all,0.0008229023539537061,0.002535473365899046
Kidney,signif,0.001045400238948626,0.0004884856943475227
Kidney,all,0.0007459179639423256,0.0023261223540358223
Kidney,signif,0.0007464427338465127,0.0003721795766457316
Kidney,all,0.00072992700729927,0.002302861130495464
Kidney,signif,0.0008304430658004005,0.0003954408001860898
Kidney,all,0.0007138434643260371,0.002279599906955106
Kidney,signif,0.0008600009052641108,0.00044196324726680623
Kidney,all,0.0007312862344790151,0.0022563386834147476
Kidney,signif,0.0009358476440035562,0.00046522447080716444
Kidney,all,0.0006543483002523914,0.001953942777390091
Kidney,signif,0.000676730869338886,0.0003023959060246569
Kidney,all,0.0008592926900344465,0.0026750407071411955
Kidney,signif,0.0013067015120403211,0.0006513142591300302
Testis,all,0.0006589433753929172,0.0017213305419865085
Testis,signif,0.0006416288818547352,0.0003489183531053733
Testis,all,0.0007205307323931286,0.0019074203303093742
Testis,signif,0.0006643966447969437,0.0003721795766457316
Testis,all,0.000591065672937504,0.0014887183065829263
Testis,signif,0.000695440518103186,0.0003721795766457316
Testis,all,0.0006683084472356749,0.0016980693184461503
Testis,signif,0.000696560731388768,0.0003721795766457316
Testis,all,0.0005965724202762311,0.0015352407536636428
Testis,signif,0.0007838697034359622,0.000418702023726448
Testis,all,0.0007391427662847762,0.0020004652244708073
Testis,signif,0.0008318083513558476,0.00046522447080716444
Testis,all,0.0006380922863758182,0.0016282856478250756
Testis,signif,0.00074362451336337,0.0003954408001860898
Testis,all,0.0006080951627279315,0.0016980693184461503
Testis,signif,0.0007936507936507937,0.00046522447080716444
Testis,all,0.0006520651707874804,0.0016980693184461503
Testis,signif,0.0009370873620990757,0.0005117469178878809
Testis,all,0.0006602781856250489,0.001767852989067225
Testis,signif,0.0006590600156526754,0.0003721795766457316
